Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Treadmill duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2014-11-26,,9896.7705078125,,,,-23.57122039794922,-46.77399826049805,-23.529415130615234,-46.64707946777344,3.494413137435913,19.800729751586914,0.6014149785041809,2488,,,,,74704472,1345025,,,,,
2014-11-27,,23283.455078125,,,,-23.59062385559082,-46.7306022644043,-23.56183433532715,-46.64552307128906,1.7413417100906372,16.632705688476562,0.5053711533546448,2171,,,,,75622116,1007684,,,,,
2014-11-28,,28212.4453125,,,,-23.58818817138672,-46.73283767700195,-23.550933837890625,-46.646583557128906,2.325035333633423,16.834993362426758,0.5215361714363098,3539,,,,,73072004,1570600,,,,,
2014-11-29,,11538.6318359375,,,,-23.591323852539062,-46.70170211791992,-23.564605712890625,-46.64517593383789,3.796081066131592,14.94027042388916,0.5532630681991577,2489,,,,,77178036,1413225,,,,,
2014-11-30,,30122.0234375,,,,-23.5929012298584,-46.78028106689453,-23.5213623046875,-46.64438247680664,3.748720645904541,22.13457489013672,0.6412487626075745,1352,,,,,79877228,336925,,,,,
2014-12-01,,27981.767578125,,,,-23.590652465820312,-46.73064041137695,-23.556913375854492,-46.645782470703125,2.8600847721099854,18.75385093688965,0.6576473116874695,5142,,,,,77449102,3182174,,,,,
2014-12-02,,23882.580078125,,,,-23.586881637573242,-46.730751037597656,-23.559226989746094,-46.645172119140625,2.9980804920196533,14.392171859741211,0.5162363648414612,5133,,,,,77905943,3046426,,,,,
2014-12-03,,22301.66015625,,,,-23.590778350830078,-46.73121643066406,-23.554004669189453,-46.64646911621094,1.6994332075119019,15.005879402160645,0.5166236758232117,1869,,,,,80123600,1144471,,,,,
2014-12-04,,26293.587890625,,,,-23.590349197387695,-46.73103713989258,-23.559114456176758,-46.64557647705078,1.921615719795227,16.421342849731445,0.5565967559814453,4979,,,,,77684539,2935791,,,,,
2014-12-05,,23077.716796875,,,,-23.590940475463867,-46.73091125488281,-23.56012725830078,-46.646209716796875,2.9403090476989746,17.340415954589844,0.5217278599739075,2238,,,,,78956339,1503221,,,,,
