Trimeresurus_kanburiensis;4
Trimeresurus_macrops;4
Trimeresurus_malabaricus;4
Trimeresurus_malcolmi;4
Trimeresurus_mcgregori;4
Trimeresurus_medoensis;4
Trimeresurus_nebularis;4
Trimeresurus_popeiorum;4
Trimeresurus_puniceus;4
Trimeresurus_purpureomaculatus;4
Trimeresurus_sabahi;4
Trimeresurus_schultzei;4
Trimeresurus_septentrionalis;4
Trimeresurus_sichuanensis;4
Trimeresurus_stejnegeri;4
Trimeresurus_sumatranus;4
Trimeresurus_tibetanus;4
Trimeresurus_trigonocephalus;4
Trimeresurus_truongsonensis;4
Trimeresurus_venustus;4
Trimeresurus_vogeli;4
Trimeresurus_wiroti;4
Trimeresurus_yunnanensis;4
Tropidolaemus_subannulatus;4
Tropidolaemus_wagleri;4
Vipera_ammodytes;2
Vipera_anatolica;1
Vipera_aspis;2
Vipera_barani;1
Vipera_berus;2
Vipera_dinniki;2
Vipera_eriwanensis;2
Vipera_kaznakovi;1
Vipera_latastei;1
Vipera_lotievi;1
Vipera_nikolskii;1
Vipera_orlovi;1
Vipera_renardi;2
Vipera_seoanei;1
Vipera_transcaucasiana;2
Vipera_ursinii;2
